entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason
2025-11-23 04:59:00,2025-11-23 05:56:00,SHORT,85992.17,86221.5,-229.33000000000177,Stop Loss
2025-11-23 07:00:00,2025-11-23 07:26:00,SHORT,86527.43,86229.18,298.25,Take Profit
2025-11-23 07:57:00,2025-11-23 08:22:00,LONG,86310.28,86147.34,-162.94000000000233,Stop Loss
2025-11-23 10:42:00,2025-11-23 10:47:00,SHORT,85850.91,86061.36,-210.4499999999971,Stop Loss
2025-11-23 10:48:00,2025-11-23 11:40:00,LONG,86046.34,86309.25,262.9100000000035,Take Profit
2025-11-23 12:12:00,2025-11-23 12:57:00,SHORT,86282.25,86066.64,215.61000000000058,Take Profit
2025-11-23 13:29:00,2025-11-23 13:45:00,LONG,86040.97,86319.8,278.83000000000175,Take Profit
2025-11-23 14:43:00,2025-11-23 15:05:00,SHORT,86533.21,86744.53,-211.31999999999243,Stop Loss
2025-11-23 15:07:00,2025-11-23 15:12:00,LONG,86588.16,86403.4,-184.7600000000093,Stop Loss
2025-11-23 15:37:00,2025-11-23 15:50:00,LONG,86616.51,86904.69,288.18000000000757,Take Profit
2025-11-23 16:19:00,2025-11-23 16:34:00,SHORT,86647.78,86867.08,-219.30000000000294,Stop Loss
2025-11-23 16:36:00,2025-11-23 16:48:00,LONG,86865.58,86667.25,-198.33000000000175,Stop Loss
2025-11-23 17:13:00,2025-11-23 17:55:00,LONG,86714.4,87081.3,366.90000000000873,Take Profit
2025-11-23 18:22:00,2025-11-23 18:33:00,SHORT,87037.59,87254.94,-217.35000000000585,Stop Loss
2025-11-23 18:34:00,2025-11-23 18:57:00,LONG,87259.94,86841.16,-418.77999999999884,Stop Loss
2025-11-23 19:35:00,2025-11-23 19:46:00,LONG,86847.61,86598.86,-248.75000000000003,Stop Loss
2025-11-23 19:48:00,2025-11-23 20:01:00,SHORT,86642.07,86908.47,-266.3999999999942,Stop Loss
2025-11-23 20:13:00,2025-11-23 20:16:00,SHORT,86771.78,86913.44,-141.6600000000035,Stop Loss
