time,open,high,low,close,tick_volume,spread,real_volume
2026-01-06 02:22:00,4441.92,4442.13,4441.09,4441.48,162,19,0
2026-01-06 02:23:00,4441.5,4441.5,4439.82,4439.97,242,19,0
2026-01-06 02:24:00,4440.0,4441.34,4439.86,4441.03,209,19,0
2026-01-06 02:25:00,4441.05,4441.15,4439.57,4439.84,175,19,0
2026-01-06 02:26:00,4439.84,4441.03,4439.84,4441.03,193,19,0
2026-01-06 02:27:00,4441.08,4441.09,4440.14,4440.62,198,19,0
2026-01-06 02:28:00,4440.61,4441.03,4440.26,4440.33,168,19,0
2026-01-06 02:29:00,4440.34,4441.33,4440.18,4440.85,167,19,0
2026-01-06 02:30:00,4440.86,4443.56,4440.8,4443.35,267,19,0
2026-01-06 02:31:00,4443.35,4444.77,4442.36,4442.46,388,19,0
2026-01-06 02:32:00,4442.49,4443.27,4437.92,4437.92,372,19,0
2026-01-06 02:33:00,4438.0,4439.12,4437.67,4438.22,417,19,0
2026-01-06 02:34:00,4438.25,4438.45,4436.4,4436.49,380,19,0
2026-01-06 02:35:00,4436.5,4437.14,4433.96,4436.09,398,19,0
2026-01-06 02:36:00,4436.14,4437.45,4435.67,4436.17,401,19,0
2026-01-06 02:37:00,4436.16,4436.92,4435.59,4436.21,298,19,0
2026-01-06 02:38:00,4436.22,4436.33,4434.96,4435.16,336,19,0
2026-01-06 02:39:00,4435.15,4435.63,4434.54,4434.71,423,19,0
2026-01-06 02:40:00,4434.69,4435.05,4430.51,4432.84,529,19,0
2026-01-06 02:41:00,4432.82,4434.87,4432.7,4433.25,525,19,0
2026-01-06 02:42:00,4433.22,4435.26,4432.78,4435.24,377,19,0
2026-01-06 02:43:00,4435.23,4436.67,4435.1,4436.2,384,19,0
2026-01-06 02:44:00,4436.21,4436.75,4435.24,4436.51,327,19,0
2026-01-06 02:45:00,4436.51,4437.73,4436.51,4437.15,361,19,0
2026-01-06 02:46:00,4437.14,4437.75,4437.06,4437.6,266,19,0
2026-01-06 02:47:00,4437.61,4437.86,4437.13,4437.69,281,19,0
2026-01-06 02:48:00,4437.7,4438.21,4437.51,4437.71,399,19,0
2026-01-06 02:49:00,4437.71,4437.71,4436.29,4436.54,359,19,0
2026-01-06 02:50:00,4436.54,4437.09,4435.72,4436.23,345,19,0
2026-01-06 02:51:00,4436.14,4436.28,4435.31,4435.31,281,19,0
2026-01-06 02:52:00,4435.31,4435.89,4435.05,4435.39,471,19,0
2026-01-06 02:53:00,4435.39,4435.56,4434.63,4434.91,366,19,0
2026-01-06 02:54:00,4435.02,4435.53,4434.57,4435.53,350,19,0
2026-01-06 02:55:00,4435.51,4436.63,4435.49,4436.55,396,19,0
2026-01-06 02:56:00,4436.54,4437.99,4436.48,4437.83,494,19,0
2026-01-06 02:57:00,4437.82,4437.82,4436.39,4436.86,448,19,0
2026-01-06 02:58:00,4436.87,4437.04,4436.1,4437.03,558,19,0
2026-01-06 02:59:00,4437.03,4437.03,4435.35,4436.4,435,19,0
2026-01-06 03:00:00,4436.39,4440.19,4435.91,4436.75,822,19,0
2026-01-06 03:01:00,4436.62,4438.07,4435.09,4437.95,782,19,0
2026-01-06 03:02:00,4437.93,4438.04,4430.93,4431.14,718,19,0
2026-01-06 03:03:00,4431.0,4434.64,4428.02,4434.18,750,19,0
2026-01-06 03:04:00,4434.18,4435.26,4433.58,4434.28,690,19,0
2026-01-06 03:05:00,4434.24,4435.79,4432.04,4434.21,683,19,0
2026-01-06 03:06:00,4434.13,4436.86,4432.47,4436.09,655,19,0
2026-01-06 03:07:00,4436.21,4438.18,4435.46,4438.05,604,19,0
2026-01-06 03:08:00,4438.04,4439.08,4436.9,4437.01,461,19,0
2026-01-06 03:09:00,4437.0,4439.43,4436.47,4436.47,585,19,0
2026-01-06 03:10:00,4436.45,4441.92,4436.33,4440.03,697,19,0
2026-01-06 03:11:00,4440.04,4441.06,4438.38,4439.83,634,19,0
2026-01-06 03:12:00,4439.8,4441.06,4439.1,4440.52,522,19,0
2026-01-06 03:13:00,4440.46,4441.87,4438.56,4439.33,570,19,0
2026-01-06 03:14:00,4439.41,4442.27,4439.41,4441.72,585,19,0
2026-01-06 03:15:00,4441.78,4444.21,4441.14,4443.31,789,19,0
2026-01-06 03:16:00,4443.29,4443.37,4441.59,4442.2,654,19,0
2026-01-06 03:17:00,4442.2,4443.27,4440.36,4441.03,705,19,0
2026-01-06 03:18:00,4440.94,4442.0,4439.59,4440.28,671,19,0
2026-01-06 03:19:00,4440.33,4441.4,4440.25,4440.93,449,19,0
2026-01-06 03:20:00,4440.85,4442.51,4440.2,4442.4,556,19,0
2026-01-06 03:21:00,4442.4,4442.55,4439.1,4439.25,567,19,0
2026-01-06 03:22:00,4439.25,4439.81,4437.74,4438.7,518,19,0
2026-01-06 03:23:00,4438.7,4439.63,4436.81,4436.82,569,19,0
2026-01-06 03:24:00,4436.82,4437.25,4435.42,4435.89,603,19,0
2026-01-06 03:25:00,4435.85,4436.05,4434.34,4435.66,588,19,0
2026-01-06 03:26:00,4435.66,4436.32,4433.92,4435.37,625,19,0
2026-01-06 03:27:00,4435.38,4436.18,4434.39,4435.41,599,19,0
2026-01-06 03:28:00,4435.39,4436.7,4434.03,4436.58,608,19,0
2026-01-06 03:29:00,4436.57,4436.65,4434.35,4434.97,544,19,0
2026-01-06 03:30:00,4434.96,4436.37,4433.6,4435.56,627,19,0
2026-01-06 03:31:00,4435.62,4435.74,4433.45,4434.61,545,19,0
2026-01-06 03:32:00,4434.61,4435.91,4433.4,4433.75,596,19,0
2026-01-06 03:33:00,4433.75,4434.35,4432.83,4433.72,485,19,0
2026-01-06 03:34:00,4433.72,4436.72,4432.73,4436.25,482,19,0
2026-01-06 03:35:00,4436.26,4437.15,4434.4,4436.71,541,19,0
2026-01-06 03:36:00,4436.71,4438.09,4435.9,4438.09,563,19,0
2026-01-06 03:37:00,4438.11,4439.87,4437.88,4439.67,638,19,0
2026-01-06 03:38:00,4439.65,4440.12,4438.59,4439.43,590,19,0
2026-01-06 03:39:00,4439.42,4440.59,4439.08,4440.21,536,19,0
2026-01-06 03:40:00,4440.21,4441.26,4439.64,4440.49,426,19,0
2026-01-06 03:41:00,4440.45,4443.24,4440.05,4443.24,530,19,0
2026-01-06 03:42:00,4443.15,4443.32,4441.22,4441.47,492,19,0
2026-01-06 03:43:00,4441.37,4441.56,4440.21,4440.6,461,19,0
2026-01-06 03:44:00,4440.6,4441.08,4439.05,4439.17,474,19,0
2026-01-06 03:45:00,4439.18,4440.91,4438.39,4440.37,538,19,0
2026-01-06 03:46:00,4440.34,4441.31,4439.93,4440.09,539,19,0
2026-01-06 03:47:00,4440.09,4441.28,4439.91,4441.23,477,19,0
2026-01-06 03:48:00,4441.24,4442.64,4441.14,4441.9,532,19,0
2026-01-06 03:49:00,4441.88,4441.92,4440.26,4440.62,469,19,0
2026-01-06 03:50:00,4440.64,4442.01,4439.72,4441.86,646,19,0
2026-01-06 03:51:00,4441.86,4443.53,4440.96,4443.44,559,19,0
2026-01-06 03:52:00,4443.43,4443.97,4442.56,4443.91,425,19,0
2026-01-06 03:53:00,4443.97,4446.43,4443.8,4445.81,742,19,0
2026-01-06 03:54:00,4445.79,4448.3,4445.79,4447.73,668,19,0
2026-01-06 03:55:00,4447.67,4448.79,4447.35,4448.79,681,19,0
2026-01-06 03:56:00,4448.77,4450.79,4447.87,4450.55,735,19,0
2026-01-06 03:57:00,4450.53,4451.35,4449.81,4451.09,697,19,0
2026-01-06 03:58:00,4451.08,4452.28,4451.01,4451.89,618,19,0
2026-01-06 03:59:00,4452.04,4452.16,4450.24,4450.69,497,19,0
2026-01-06 04:00:00,4450.65,4452.02,4448.76,4449.84,605,19,0
2026-01-06 04:01:00,4449.83,4452.75,4449.64,4452.75,757,19,0
2026-01-06 04:02:00,4452.75,4455.09,4452.6,4453.86,705,19,0
2026-01-06 04:03:00,4453.83,4454.98,4452.01,4454.98,625,19,0
